SIMON BERENDS;ZUIDERDIEP 18;9521AT;NIEUW-BUINEN
FA BERG;HEARREWEI 15B;9073GA;MARRUM
A. BERG TRANSPORT;DE PONGASTRJITTE 6;9073LK;MARRUM
R.W. VD. BERG ISOLATIEHANDEL;MEEKMAWEI 21;9074TJ;HALLUM
V/D BERG CARROSSERIEEN;PLETTERIJ 22;2211JT;NOORDWIJKERHOUT
P. VAN DEN BERG TRANSPORT;KILSTRAAT 6;3363CE;SLIEDRECHT
J.S.A. VD BERG;HAARVEEN 18;9314TE;FOXWOLDE
AUTOBEDRIJF H. VAN BERGEN;KANAALSTRAAT 55;9301LR;RODEN
BERGWERFF KOELTRANSP. BV;NIKKELSTRAAT 8-10;2984AM;RIDDERKERK
BEMO RAIL BV;DEBBEMEERWEG 59;1749DK;WARMENHUIZEN
BEMUTRANS;ENERGIEWEG 18;2964LE;GROOT-AMMERS
PIET BERGHUIS TRANSPORT;VAN HEEKSTRAAT 2;9403AT;ASSEN
BERGHUIS TRANSP.BEDR. BV;EUROPAWEG 1A;9403BC;ASSEN
P.C. BESSELING & ZN BV;KOGGEWEG 59/A;1607MT;HEM
TRANSPORTBEDR. BETTEN;VAART ZZ 99;8426AJ;APPELSCHA
OOST-GR. BETONMORT.CENTR.;INDUSTRIEWEG 40;9672AS;WINSCHOTEN
BEURTDIENST LOPPERSUM;MOLENWEG 49;9919AG;LOPPERSUM
TRANSPORTBEDRIJF BEULINK;HERENLANDWEG 25;7831TS;NIEUW-WEERDINGE
BEUSMEAT TRADING BV;KALKOVEN 17;9351NP;LEEK
BEVETRA TRANSPORTBEDRIJF;WYLDPAED 14;9298VP;KOLLUMERZWAAG
BESTRATING.NL;ANREPERSTRAAT 189 A;9404TA;ASSEN
BIEMOND-LEMS VOF;DEVELSLUIS 25;2995XA;HEERJANSDAM
P.BIESIOT;ALMEREWEG 32;1671ND;MEDEMBLIK
AUTOBEDRIJF BIMMEL;BUTTER 1;1713GM;OBDAM
H. BISSCHOP;LAGE ESCH 13;8431MJ;OOSTERWOLDE (FR.)
BIRDSONG TRADING;PROF. BOERMASTRAAT 34;9781JT;BEDUM
FA. E. BIRZA & ZN;ULGERSMAWEG 39;9731BK;GRONINGEN
SITA RECYCL.SERV. VEENDAM;MEIHUIZENWEG 25;9648LN;WILDERVANK
B-FOUR AGRO v.o.f.;HEEMTWEG 5;1749EK;WARMENHUIZEN
B & J POLYURETHAAN TECHN.;STEENKAMP 8;9461VC;GIETEN
BKF GRONINGEN;TALLINNWEG 8;9723TJ;GRONINGEN
W. BLAZER HANDELS- EN TRANPORTBEDR.;VLISTSTRAAT 12;3044ET;ROTTERDAM
BETONBOOR BLEEKER BV;PAPIERBAAN 64/66;9672BH;WINSCHOTEN
COR BLANKEN TRANSPORT;ALBERT VAN DAATSELAARSTRAAT 2;7926AB;KERKENVELD
V/D BLES TAXIBEDRIJF;SUDERSEEWEI 11;8754GK;MAKKUM
TRUCK EN TRAILERSERVICE AKKRUM;SPIKERBOOR 32;8491PA;AKKRUM
TRUCK EN TRAILERSERVICE SNEEK;PROF. ZERNIKESTRAAT 15;8606JS;SNEEK
TRUCK EN TRAILERSERVICE LOCHEM;KWINKWEERD 15;7241CW;LOCHEM
TRUCK SERVICE FRIESLAND;VENUS 10;8448GW;HEERENVEEN
BUIST KRAANBEDRIJF;HOOFDSTRAAT 20;7872PK;VALTHE
JURRIEN V.'T BLIK;TINGIETERSTRAAT 4;8601WJ;SNEEK
INT.TRSP. BLOEMENDAAL BV;TRANSPORTWEG 2;1619BG;ANDIJK
BLOEMHOF TECHN.AANN. BV;DE MARNE 31;8701PV;BOLSWARD
GERRIE BLOKZIJL TRANSPORT;ALETTA JACOBSSTRAAT 7;7741RS;COEVORDEN
J. BLOKZIJL HOLDING/FERRY;COEVORDERSTRAATWEG 31/A;7917PP;GEESBRUG
BLOM KRAANVERHUURBEDRIJF;A. VAN FLEMMINGSTRAAT 2;1821BK;ALKMAAR
BMS INTERNATIONAAL TRANSPORT;SLENERWEG 7;7848AD;SCHOONOORD
BEDR. MODIFICATIE CENTRUM;NARVIKWEG 4;9723TV;GRONINGEN
A.J. DE BOER;DE GOORN 12;1648JN;DE GOORN
JAN DE BOER;BEDUMERWEG 28;9959PG;ONDERDENDAM
HARM DE BOER LOONBEDRIJF;DR. SCHONFELDSTRAAT 2-4;9971CE;ULRUM
J.K. BOER TRANSPORT B.V.;AMBACHTSWEG 2;2957ST;NIEUW-LEKKERLAND
DE BOER IND. TECHNIEK BV;JEVERWEG 6;9723JE;GRONINGEN
A.D.B. KLAAS BOER;EDEMA 47;9981ND;UITHUIZEN
DE BOER STAALBOUW BV;KALKOVEN 10;9351NP;LEEK
